dam_id,dam_num,name,area_m2,intersect_count,intersect_km
25,UT00272,SEVIER BRIDGE,863092738.98704,9,63.8456816446285
120,UT00080,DMAD,581745705.569507,5,22.907374614207047
27,UT00249,PIUTE,224263647.02514,8,14.772278179483182
147,UT00270,SETTLEMENT CANYON,154533832.487005,8,34.519687926458474
23,UT00227,NEWCASTLE,151491485.279731,0,
57,UT00309,ENTERPRISE (UPPER),150630761.90603,0,
56,UT00189,ENTERPRISE (LOWER),150225877.278872,0,
212,UT53326,Big Sand Wash,129946428.459622,0,
110,UT00072,CLIFF LAKE (DUCHESNE),100477648.700264,0,
150,UT00323,WHITEROCKS LAKE,93287746.4982007,0,
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,6,16.116775307295594
12,UT00251,PORCUPINE,66509510.5408086,2,4.426656180971216
11,UT00079,UTAH POWER & LIGHT - CUTLER,45960121.8369641,4,3.2179242152695267
2,UT00069,CHEPETA,40262164.8279618,0,
214,UT00517,Recapture Creek,39707268.2823017,0,
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,38739876.2713122,5,13.353161088835297
1,UT00394,BROWNS DRAW,38273850.5903968,0,
121,UT00131,GUNNISON BEND,38260955.1871127,2,1.6400542677266057
4,UT00240,PARADISE PARK,37742892.4889846,0,
34,UT00130,GUNNISON,37340855.7968552,0,
75,UT00212,MILLSITE,35711465.5265732,0,
118,UT00215,MONA,34211179.5809849,1,5.537871224702233
20,UT00100,UTAH POWER & LIGHT - ELECTRIC LAKE,32338228.3638052,0,
145,UT00366,ROCKY FORD (SEVIER),30575712.7349259,1,0.4488068961692184
49,UT00390,COTTONWOOD,29512577.6472427,0,
112,UT00302,TROPIC,28430364.8417761,0,
18,UT00306,TWIN POTS,25775301.2746265,0,
55,UT00010,ASH CREEK,21215287.9268419,0,
60,UT00514,QUAIL CREEK,20867386.4863908,0,
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,0,
44,UT00324,WHITNEY,20486496.7852418,0,
16,UT00069,CHEPETA,20221342.6896625,0,
86,UT00194,MANDERFIELD (AKA BEAVER),20138673.459028,0,
59,UT00164,KOLOB CREEK,19802710.7105293,0,
71,UT00221,MOUNTAIN DELL,19037098.6438245,23,12.612405964592329
64,UT00208,MILL MEADOW,18046837.4852023,0,
3,UT00235,OTTER CREEK,17789718.8840292,0,
62,UT00588,SOUTH CREEK - WASHINGTON CO,17658030.1538375,0,
47,UT00353,BROUGH,16826813.8792171,0,
129,UT00755,LITTLE DELL,16802505.7395662,7,6.697926364243043
29,UT00332,WOODRUFF CREEK,16556826.0282263,0,
50,UT00624,LAPOINT,16339917.963738,0,
45,UT00343,GRANTSVILLE,16240394.3103091,0,
117,UT00335,YANKEE MEADOW,16234821.2859582,0,
42,UT00280,SMITH AND MOREHOUSE,16033265.6586343,0,
28,UT00041,BIRCH CREEK #2,15646288.7713755,0,
211,UT10101,RED BUTTE,15569654.8605154,19,11.223531910978348
77,UT00313,WALL LAKE,15454792.8633538,0,
208,UT00184,LOST LAKE,15373628.1508261,0,
207,UT00315,WASHINGTON LAKE,14915566.8528618,0,
8,UT00089,DEJARNATT,14841036.2686569,0,
43,UT00301,TRIAL LAKE,14832891.6618759,0,
158,UT00472,NORTH UTAH CO - DRY CREEK,14621478.8808104,6,6.6616377091969685
68,UT00144,HUNTINGTON,14575689.2170711,0,
157,UT00585,NORTH UTAH CO - BATTLE CREEK,14478284.2383523,5,4.649069892872431
183,UT00165,KOOSHAREM,14218388.4232414,0,
7,UT00044,BLUE CREEK,14158819.0013613,0,
67,UT00071,CLEVELAND,13801873.3167568,0,
119,UT00322,CORN CREEK,13554747.369584,0,
182,UT00260,ROLFSON,13297503.5679589,0,
163,UT00469,UTAH CO - AMERICAN FORK DEBRIS,13203865.8407521,5,4.202414043310455
58,UT00129,GUNLOCK,13105943.1977006,0,
87,UT00298,THREE CREEKS - BEAVER,12533272.1671697,0,
159,UT00584,NORTH UTAH CO - GROVE CREEK,12424421.1276193,5,4.518509946102887
66,UT00210,MILLER FLAT,12377766.7872947,0,
80,UT00380,LOGAN FIRST DAM,12303980.3241938,1,1.885986350440908
35,UT00138,NINEMILE,11968090.871948,0,
160,UT00299,NORTH UTAH CO - TIBBLE FORK,11951500.2845743,4,4.632799853753379
141,UT00119,PALISADES LAKE,11944644.216168,2,0.33217318976761895
30,UT00304,TWIN LAKES (SALT LAKE),11868545.3713246,3,0.7550732208513968
128,UT00172,LAKE MARY-PHOEBE,11821182.9654909,3,0.7496288011362581
84,UT00161,KENTS LAKE #1,11063250.8725858,0,
205,UT00429,JOYCE,10712334.9728998,0,
79,UT00052,BOYER LAKE,10616434.1758184,0,
81,UT00830,CEDAR CITY - FIDDLER CANYON #2,10120111.3712461,0,
65,UT00039,KENNECOTT MINE BINGHAM CREEK,9808162.33778089,4,7.3594798645487804
37,UT00644,COTTONWOOD WASH DETENTION BASIN,9503610.13256378,0,
46,UT00353,BROUGH,9471695.72154864,0,
131,UT00090,SALT LAKE CO - BIG COTTONWOOD (SPENCER'S),9416327.65151028,3,1.9846039469517145
161,UT00524,PROVO - ROCK CANYON,9224378.80024628,2,0.5466587675474546
225,UT53352,M&S DAM,9185200.47544466,0,
229,UT00516,RANCHERS EXPLORATION TAILINGS,9093174.08244332,0,
24,UT00255,RED CREEK (IRON),8561981.38498396,0,
54,UT00330,WITT LAKE,8560274.51081893,0,
167,UT00064,CENTER CREEK #1,8226294.26829515,2,0.3211602434439087
169,UT00066,CENTER CREEK #3,8138995.36075312,2,0.3211602434439087
