dam_id,dam_num,name,area_m2,total_gap_sts_2_m_2,total_gap_sts_1_m_2,pcent_gap_sts_1
25,UT00272,SEVIER BRIDGE,863092738.98704,11169097.751207346,0.0,0.0
120,UT00080,DMAD,581745705.569507,81333.19210355317,0.0,0.0
27,UT00249,PIUTE,224263647.02514,1580490.7153775685,0.0,0.0
147,UT00270,SETTLEMENT CANYON,154533832.487005,0.0,0.0,0.0
23,UT00227,NEWCASTLE,151491485.279731,0.0,0.0,0.0
57,UT00309,ENTERPRISE (UPPER),150630761.90603,0.0,0.0,0.0
56,UT00189,ENTERPRISE (LOWER),150225877.278872,0.0,0.0,0.0
212,UT53326,Big Sand Wash,129946428.459622,0.0,0.0,0.0
110,UT00072,CLIFF LAKE (DUCHESNE),100477648.700264,55581.460193200546,0.0,0.0
150,UT00323,WHITEROCKS LAKE,93287746.4982007,55581.460193200546,0.0,0.0
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,0.0,0.0,0.0
12,UT00251,PORCUPINE,66509510.5408086,1549711.817309822,0.0,0.0
11,UT00079,UTAH POWER & LIGHT - CUTLER,45960121.8369641,1910107.3576661441,0.0,0.0
2,UT00069,CHEPETA,40262164.8279618,0.0,0.0,0.0
214,UT00517,Recapture Creek,39707268.2823017,2296740.730185174,0.0,0.0
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,38739876.2713122,108958.76079415911,0.0,0.0
1,UT00394,BROWNS DRAW,38273850.5903968,0.0,0.0,0.0
121,UT00131,GUNNISON BEND,38260955.1871127,0.0,0.0,0.0
4,UT00240,PARADISE PARK,37742892.4889846,0.0,0.0,0.0
34,UT00130,GUNNISON,37340855.7968552,0.0,0.0,0.0
75,UT00212,MILLSITE,35711465.5265732,1083761.9168373202,0.0,0.0
118,UT00215,MONA,34211179.5809849,36335.09541840385,0.0,0.0
20,UT00100,UTAH POWER & LIGHT - ELECTRIC LAKE,32338228.3638052,261932.39098816458,0.0,0.0
145,UT00366,ROCKY FORD (SEVIER),30575712.7349259,0.0,0.0,0.0
49,UT00390,COTTONWOOD,29512577.6472427,0.0,0.0,0.0
112,UT00302,TROPIC,28430364.8417761,544207.5041180933,0.0,0.0
18,UT00306,TWIN POTS,25775301.2746265,0.0,0.0,0.0
55,UT00010,ASH CREEK,21215287.9268419,1242260.759695261,588563.5717584451,32.147462847575085
60,UT00514,QUAIL CREEK,20867386.4863908,0.0,783062.6954668793,100.0
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,0.0,783061.8367968339,100.0
44,UT00324,WHITNEY,20486496.7852418,1465778.2447690368,2699.5800141439304,0.18383525910869788
16,UT00069,CHEPETA,20221342.6896625,0.0,0.0,0.0
86,UT00194,MANDERFIELD (AKA BEAVER),20138673.459028,0.0,0.0,0.0
59,UT00164,KOLOB CREEK,19802710.7105293,2971024.2063329956,3382353.6861589896,53.23709282515744
71,UT00221,MOUNTAIN DELL,19037098.6438245,460398.48001696775,0.0,0.0
64,UT00208,MILL MEADOW,18046837.4852023,1495249.3759350567,0.0,0.0
3,UT00235,OTTER CREEK,17789718.8840292,1107918.5572173544,0.0,0.0
62,UT00588,SOUTH CREEK - WASHINGTON CO,17658030.1538375,1350039.9578857194,212580.7701286112,13.604118153401433
