railroad_id,railroad_type,portion,length_mile
73388,AC; OVERHEAD,0.0055691136788145815,0.20216867131750654
77485,AC; OVERHEAD,0.5971760362410632,0.6826273378947221
77486,AC; OVERHEAD,0.279640201151633,0.44279774196042454
77487,AC; OVERHEAD,0.03503944507537698,0.01632703126760213
77549,AC; OVERHEAD,0.42428622583336634,0.7339352552581614
78740,AC; OVERHEAD,0.5793090192337413,0.2735338302468831
68352,AC; OVERHEAD,0.004363099448250925,0.7469849144784894
73406,AC; OVERHEAD,0.08161349849338245,0.743003714005461
68352,AC; OVERHEAD,0.0004948489129139544,0.08472066183157627
73404,AC; OVERHEAD,0.0021979464471901513,0.08115415003556543
73388,AC; OVERHEAD,0.018117404977714056,0.6576938276550449
77476,AC; OVERHEAD,0.21726758909096894,1.1307385529618692
73388,AC; OVERHEAD,0.017997132879345446,0.6533277378737844
77476,AC; OVERHEAD,0.2171018592949844,1.1298760355911088
68352,AC; OVERHEAD,0.0005088736265568606,0.0871217644526342
73404,AC; OVERHEAD,0.0022886360395005276,0.08450265599685915
74143,AC; OVERHEAD,0.14967701352934448,1.8984798082056584
74144,AC; OVERHEAD,0.6715792797659086,4.834650302450995
74369,AC; OVERHEAD,0.4227069078902986,3.0990495679952748
74370,AC; OVERHEAD,1.0,0.011579664158674296
74371,AC; OVERHEAD,0.15435861691632882,2.622035830540456
78770,AC; OVERHEAD,1.0,0.07117680094031906
79835,AC; OVERHEAD,0.07926892541887257,2.069827911721794
78771,AC; OVERHEAD,0.008972722107088856,0.04466788239537811
79836,AC; OVERHEAD,0.2340268718277776,1.0604415719697802
74204,AC; OVERHEAD,0.0005119981268182346,0.006379250339047343
74205,AC; OVERHEAD,0.017022543156084678,0.14197808153026825
74209,AC; OVERHEAD,0.055904400935686764,0.22088360620291997
74212,AC; OVERHEAD,0.001438456471495035,0.011492087274878448
75361,AC; OVERHEAD,0.21825335808197327,0.6180792563503179
79718,AC; OVERHEAD,0.20081751202482137,0.07556929985623884
79763,AC; OVERHEAD,0.08209804542330669,0.6152431031826259
68319,AC; OVERHEAD,0.0012591865084285129,0.11373222847763666
71358,AC; OVERHEAD,0.0023826686413567135,0.07030698686057646
71359,AC; OVERHEAD,0.0022250040440430943,0.06564544409300638
71360,AC; OVERHEAD,0.0022710216958455993,0.06701770124978237
68317,AC; OVERHEAD,0.009488486776085995,0.8139559720207074
68318,AC; OVERHEAD,0.009872974407100747,0.8120132443598819
71361,AC; OVERHEAD,0.0031316686257675903,0.08214820359065424
74216,AC; OVERHEAD,0.07583647018054511,0.40572259239348446
74217,AC; OVERHEAD,0.09319145439170697,0.40557017230270215
74213,AC; OVERHEAD,0.00034066382276190526,0.004720914426392037
74210,AC; OVERHEAD,0.00418451397245137,0.038962088111043854
74211,AC; OVERHEAD,0.0040167860930408715,0.005519917573850196
69634,AC; OVERHEAD,0.02360074806714412,2.0798276869833856
69635,AC; OVERHEAD,0.03768115989676332,2.078413976557816
74156,AC; OVERHEAD,0.11718713773418156,0.5593058806677657
74155,AC; OVERHEAD,0.12400985793617962,0.5658360866279619
75399,AC; OVERHEAD,0.5072212520773236,0.05095629191038349
75398,AC; OVERHEAD,0.13855180997877686,0.1185513401121223
74236,AC; OVERHEAD,0.018437373515140992,0.13228413150876553
74154,AC; OVERHEAD,0.12600066558181622,0.28269141353013705
74156,AC; OVERHEAD,0.09114002576933095,0.434989311648064
74153,AC; OVERHEAD,0.06331856360031798,0.2551295491182526
74155,AC; OVERHEAD,0.09637544453969654,0.43974491458120013
68352,AC; OVERHEAD,0.0004948489129139544,0.08472066183157627
73404,AC; OVERHEAD,0.0021979464471901513,0.08115415003556543
73388,AC; OVERHEAD,0.018117404977714056,0.6576938276550449
77476,AC; OVERHEAD,0.01389697553695503,0.07232485100492236
78749,AC; OVERHEAD,0.011145870551360373,0.07774025305465075
68352,AC; OVERHEAD,0.000482893019343794,0.08267375177556086
73411,AC; OVERHEAD,0.09166139588835492,1.246578250082237
78743,AC; OVERHEAD,0.024810984054778287,0.17078400753442063
68352,AC; OVERHEAD,0.0013674350127667622,0.23411185974134766
73407,AC; OVERHEAD,0.014698995590177065,0.7040350087143584
68360,AC; OVERHEAD,0.0032459807472337873,0.5159659079197669
74649,AC; OVERHEAD,0.4152437241227274,0.29715480278896306
74650,AC; OVERHEAD,0.3546844619074776,0.23809798087356368
74651,AC; OVERHEAD,0.15452843879517597,0.08939689877165036
75472,AC; OVERHEAD,0.00938961255899083,0.06850736367911198
