pipeline_id,pipeline_type,operator,portion,length
31396,Interstate,Questar Pipeline Co.,0.0685960563211756,1.9569696591757393
30246,Interstate,Ruby Pipeline LLC,0.0012327764514628117,0.4732337703883836
30246,Interstate,Ruby Pipeline LLC,0.001232776463174726,0.473233774884311
30246,Interstate,Ruby Pipeline LLC,0.0058285818258269895,2.2374549336826965
30246,Interstate,Ruby Pipeline LLC,0.00043601728848903916,0.1673767414532837
31376,Interstate,Questar Pipeline Co.,0.19019295457606655,3.0535481073530333
30246,Interstate,Ruby Pipeline LLC,0.01858780742069336,7.135420358257265
31428,Interstate,Questar Pipeline Co.,0.04667587414345201,2.450999219897499
31396,Interstate,Questar Pipeline Co.,0.023590432577875034,0.6730089640369163
31391,Interstate,Questar Pipeline Co.,0.011984699023680677,0.9222772016407917
14067,Interstate,Kern River Gas Transmission Co.,0.07386881971766442,17.625308498584324
14065,Interstate,Kern River Gas Transmission Co.,0.0012961765610094902,0.151237665245558
31391,Interstate,Questar Pipeline Co.,0.007259306212697325,0.5586366922082239
31391,Interstate,Questar Pipeline Co.,0.007259306212697325,0.5586366922082239
31391,Interstate,Questar Pipeline Co.,0.007259306212697325,0.5586366922082239
13060,Interstate,Kern River Gas Transmission Co.,0.017464158587124457,0.28418859430395377
14066,Interstate,Kern River Gas Transmission Co.,0.00829339301523194,1.4995096410996225
31376,Interstate,Questar Pipeline Co.,0.19019294646200832,3.0535479770818186
30246,Interstate,Ruby Pipeline LLC,0.017663892517933027,6.780751243323673
16231,Interstate,Northwest Pipeline,0.0029386371052168574,0.48452658577460717
31382,Interstate,Questar Pipeline Co.,0.015805306313776253,0.5248762822923928
31429,Interstate,Questar Pipeline Co.,0.0013209013237413323,0.19874648760891017
14067,Interstate,Kern River Gas Transmission Co.,0.008722498301278006,2.0812126689718737
14067,Interstate,Kern River Gas Transmission Co.,0.008722498544032795,2.0812127268938507
31391,Interstate,Questar Pipeline Co.,0.0291500340640375,2.243227951840351
14063,Interstate,Kern River Gas Transmission Co.,0.011120054878165,0.8140878148495863
31472,Interstate,Questar Pipeline Co.,0.0017562305036517062,0.13437475091608034
31473,Interstate,Questar Pipeline Co.,0.004022414695337036,0.26468377077800787
31474,Interstate,Questar Pipeline Co.,0.008063105227445314,0.5284993350258449
31386,Interstate,Questar Pipeline Co.,0.15354898037231882,2.273514826164835
31413,Interstate,Questar Pipeline Co.,0.05507311754220551,0.301806999657391
31414,Interstate,Questar Pipeline Co.,0.2640189488898561,1.7300181432763828
31387,Interstate,Questar Pipeline Co.,0.013225678983871284,0.38488780712890786
31473,Interstate,Questar Pipeline Co.,0.004976446724374596,0.3274611853447813
13060,Interstate,Kern River Gas Transmission Co.,0.031310912635970856,0.5095123365949453
13060,Interstate,Kern River Gas Transmission Co.,0.05808476687321789,0.9451945918735842
13060,Interstate,Kern River Gas Transmission Co.,0.059338719719379665,0.9655997602586724
31473,Interstate,Questar Pipeline Co.,0.027438182395787755,1.8054930010649581
31458,Interstate,Questar Pipeline Co.,0.2202814511942813,5.997178878509437
31472,Interstate,Questar Pipeline Co.,0.01974846681499937,1.511017661817299
31472,Interstate,Questar Pipeline Co.,0.012199277583870289,0.9334053151224572
31472,Interstate,Questar Pipeline Co.,0.015091947828230928,1.1547326652397087
16231,Interstate,Northwest Pipeline,0.0009448790339849072,0.15579297338006326
16231,Interstate,Northwest Pipeline,0.0010749002613464121,0.17723105474773354
31429,Interstate,Questar Pipeline Co.,0.00213262501742282,0.3208806925858436
31458,Interstate,Questar Pipeline Co.,0.02526375262895204,0.6878075427449871
31457,Interstate,Questar Pipeline Co.,0.000882530278812533,0.09627386740273478
13071,Interstate,Kern River Gas Transmission Co.,0.0043845997734860325,0.3106235139304208
31391,Interstate,Questar Pipeline Co.,0.007259306212697325,0.5586366922082239
14063,Interstate,Kern River Gas Transmission Co.,0.011120054878165,0.8140878148495863
31472,Interstate,Questar Pipeline Co.,0.0017562305036517062,0.13437475091608034
31473,Interstate,Questar Pipeline Co.,0.004022414695337036,0.26468377077800787
31474,Interstate,Questar Pipeline Co.,0.008063105227445314,0.5284993350258449
31386,Interstate,Questar Pipeline Co.,0.15354898037231882,2.273514826164835
31413,Interstate,Questar Pipeline Co.,0.05507311754220551,0.301806999657391
31414,Interstate,Questar Pipeline Co.,0.2640189488898561,1.7300181432763828
31428,Interstate,Questar Pipeline Co.,0.07290008206604376,3.8280599464552925
31396,Interstate,Questar Pipeline Co.,0.10072402979992238,2.873545227519327
14065,Interstate,Kern River Gas Transmission Co.,0.010516665822913227,1.227082816546554
31457,Interstate,Questar Pipeline Co.,0.000882530278812533,0.09627386740273478
31457,Interstate,Questar Pipeline Co.,0.000882530278812533,0.09627386740273478
