road_id,road_type,name,portion,length
2990,344,I- 84,0.01147178753417025,1.2898136003736236
2988,344,I- 84,0.011542132553016645,1.2972150399989055
8875,344,I- 15,0.016420535768011207,1.2972150399989055
8929,344,I- 15,0.016241569093488176,1.2898136003736236
8877,344,I- 15,0.11239146617330775,2.2090282237972336
8927,344,I- 15,0.05378297520294883,2.20661272973921
8877,344,I- 15,0.05773012742588122,1.1346722770796036
8927,344,I- 15,0.026953927473611278,1.1058681535430763
14637,0,Legacy Pkwy,0.008361796675164361,0.1523180265147829
4012,586,State Rte 67,0.008510551345063632,0.1523180265147829
4016,586,State Rte 67,0.007342268967572151,0.1348171603543351
14633,0,Legacy Pkwy,0.007342268967572151,0.1348171603543351
4706,344,I- 215,0.05994992516555467,0.1628500039309145
4709,344,I- 215,0.04966326502843413,0.16213348959719165
16967,0,Belt Rte,0.9996800732711206,0.014150599916537247
16968,0,Belt Rte,0.9996799285784261,0.05963130686652753
4015,586,State Rte 67,0.19249801815835219,0.06132133930942071
14635,0,Legacy Pkwy,0.19249801815835219,0.06132133930942071
4017,586,State Rte 67,0.19134590986225952,0.06967043466200608
14634,0,Legacy Pkwy,0.19134590986225952,0.06967043466200608
16966,0,Belt Rte,0.0043182817818984255,0.09083407492482233
12727,586,State Rte 201,0.19159396364440925,2.4359432153196785
12728,586,State Rte 201,0.16448238949206334,1.9516925169978472
1879,0,2100 South Fwy,0.9996758516242616,0.018033395457173525
6183,0,W 2100 S Expy,0.9996758516242616,0.018033395457173525
1880,0,2100 South Fwy,0.9996758575887124,0.017571102586313267
6184,0,W 2100 S Expy,0.9996758575887124,0.017571102586313267
1881,0,2100 South Fwy,0.9996765456604735,0.4518981714732209
5307,344,I- 80,0.16284879392787735,9.795809643002588
5305,344,I- 80,0.1754023987023646,10.543075972392336
13133,0,Dwight D Eisenhower Hwy,0.1754023987023646,10.543075972392336
4707,344,I- 215,0.010897913418990626,0.4578049227608403
4708,344,I- 215,0.0016039275438780884,0.0668656286007505
16963,0,Belt Rte,0.0016039275438780884,0.0668656286007505
13134,0,Dwight D Eisenhower Hwy,0.23706222940329663,9.795809643002588
16969,0,Belt Rte,0.01764404145204499,0.3669708478360179
8926,344,I- 15,0.05154613496778618,2.1913420246710356
8905,344,I- 15,0.051886402745156865,2.2049493645768186
8881,344,I- 15,0.033818387808388264,3.218346603196753
8886,344,I- 15,0.03507110863754461,3.340382911920706
8928,344,I- 15,0.0408973733728792,3.1270945720954932
8914,344,I- 15,0.03793720714088739,2.8997165047177904
1646,344,I- 70,0.01013995415134064,1.4258953568160182
1541,344,I- 70,0.009968314635592815,1.4016102781293174
9393,640,US Hwy 89,0.02637143011345129,1.4258953568160182
9408,640,US Hwy 89,0.025937021951667062,1.4016102781293174
4707,344,I- 215,0.012918051213310265,0.5426678677428729
4708,344,I- 215,0.013242546925541186,0.552064354671716
16963,0,Belt Rte,0.013242546925541186,0.552064354671716
16969,0,Belt Rte,0.026091593949791544,0.5426678677428729
8926,344,I- 15,0.007713828711005811,0.3279321919306848
8905,344,I- 15,0.007853181333376306,0.33372649239112845
9393,640,US Hwy 89,0.004116875311051162,0.22259821956428974
9408,640,US Hwy 89,0.004097782832481398,0.2214400152126424
1646,344,I- 70,0.0015829602991288725,0.22259821956428974
1541,344,I- 70,0.0015748912368823383,0.2214400152126424
8895,344,I- 15,0.11318790304640165,8.081582921547959
8896,344,I- 15,0.1129652868806333,8.06749312939189
8920,344,I- 15,0.04867572159262262,3.3099273205537583
8894,344,I- 15,0.04434463284440272,3.0152273950976727
8920,344,I- 15,0.005225599976551428,0.35533846366838695
8894,344,I- 15,0.010501571326442052,0.7140576778742471
8920,344,I- 15,0.005691659752210647,0.38703032018314293
8894,344,I- 15,0.004210145821240689,0.28627020235129197
8920,344,I- 15,0.010079496287649363,0.6854012441587979
8894,344,I- 15,0.008547109011934598,0.5811633920185751
8920,344,I- 15,0.010079543370660367,0.68540444578251
8894,344,I- 15,0.00854714797873215,0.5811660415783514
8920,344,I- 15,0.005618746044727286,0.3820722206512683
8894,344,I- 15,0.004819134420741494,0.32767857560268454
8881,344,I- 15,0.001142228180475919,0.10870081109539084
8886,344,I- 15,0.0015931220862202488,0.15173851070440988
8881,344,I- 15,0.0002901151678878453,0.027608979186054258
8886,344,I- 15,0.0002888292261441047,0.027509829285584736
8881,344,I- 15,0.0002901151678878453,0.027608979186054258
8886,344,I- 15,0.0002888292261441047,0.027509829285584736
8882,344,I- 15,0.014070759032815483,0.6939109766952727
8921,344,I- 15,0.014065844972041764,0.6948467946621788
8882,344,I- 15,0.012877773137499935,0.6350779026676767
8921,344,I- 15,0.012834453567890775,0.634016579922177
8882,344,I- 15,0.037222013946038836,1.8356340259700026
8921,344,I- 15,0.03781000291350018,1.8677981580796306
8882,344,I- 15,0.01878483776319894,0.9263896204123526
8921,344,I- 15,0.018836488779926656,0.9305145817714953
8927,344,I- 15,0.06327145184900307,2.5959068004746007
9398,640,US Hwy 89,0.019981780442467862,0.25362965435486745
9412,640,US Hwy 89,0.028203630794631968,0.25118956566660966
8876,344,I- 15,0.12201550282034651,2.6097058948630214
9411,640,US Hwy 89,0.22257904438373477,0.7411637325639397
8927,344,I- 15,0.049241548621179736,2.0202866726794615
14636,0,Legacy Pkwy,0.999672686919009,0.8665755470877397
4011,586,State Rte 67,0.6267130839625112,0.02578553423187024
9398,640,US Hwy 89,0.1432652288002552,1.818472110946285
9412,640,US Hwy 89,0.07170482620790326,0.6386235971714359
8876,344,I- 15,0.12395171785338775,2.6511182700829967
