railroad_id,railroad_type,name,portion,length
18395,505,Union Pacific RR,0.12226482459812756,1.273832434178472
18394,505,Union Pacific RR,0.44900979338440805,0.9188648446004335
109749,505,Union Pacific RR,0.15685361434596665,7.330218712607572
18403,0, ,0.7827455554433117,0.7638368796200421
112040,505,Union Pacific RR,0.7355164893889845,5.600224400949271
18402,0, ,0.7818782203319242,0.22979803533980225
56503,505,Union Pacific RR,0.18706880566339493,1.8372764973855904
56510,505,Union Pacific RR,0.16248778095565364,0.19761544962518776
93402,0,Union Pacific,0.7485943737007742,0.21863539054657274
90272,505,Union Pacific RR,0.07631370701180024,0.9643968777121759
90650,505,Union Pacific RR,0.3678135847215489,3.333125840002502
90648,505,Union Pacific RR,0.1436182942907281,1.093530340968714
96915,505,Union Pacific RR,0.013183757705752442,0.2727844283183874
96915,505,Union Pacific RR,0.010926823664841486,0.22608632631719733
116890,505,Union Pacific RR,0.43435246016217793,4.521383223309502
67961,505,Union Pacific RR,0.7605579991770053,1.7725711189977058
67960,505,Union Pacific RR,0.029600887603999555,0.24641415663170213
67948,505,Union Pacific RR,0.28674968922205285,0.8191113656098714
68030,506,Salt Lake Garfield and Western Rlwy,0.09372503873473473,0.20649315641127372
67934,505,Union Pacific RR,0.14436363242883005,0.09838909569196061
67935,505,Union Pacific RR,0.10002406695135752,0.20535333801437886
68111,0, ,0.13470631136190273,0.10231398438396178
96792,505,Union Pacific RR,0.07384475355595328,0.36766211879618116
67964,505,Union Pacific RR,0.3300231070965314,1.4584620493376825
68004,505,Union Pacific RR,0.18344489466496483,0.40515773326567217
90723,505,Union Pacific RR,0.7586992359341981,2.957684608720182
116870,0, ,0.7577336941086946,0.14744897917618907
68003,505,Union Pacific RR,0.6941698966789283,2.1569140687202806
68002,505,Union Pacific RR,0.6417690557130414,0.6983386250063842
68107,0, ,0.7587038073083733,0.1991552160859041
90722,505,Union Pacific RR,0.756916818499079,0.1599530716930953
67939,505,Union Pacific RR,0.08106429154690707,0.2866805102224585
68110,0, ,0.5152829607140708,0.10180962474720387
67942,505,Union Pacific RR,0.5350382659000937,0.23150644606589907
67941,505,Union Pacific RR,0.7558107760927162,0.21976606913505406
67945,505,Union Pacific RR,0.5808629840336772,0.34531326132541446
67937,505,Union Pacific RR,0.7565809987010113,0.27366032553277314
67938,505,Union Pacific RR,0.7557583751003288,0.07530357298387737
67940,505,Union Pacific RR,0.7559794354127329,0.12423995087625803
99981,505,Union Pacific RR,0.7557253496178327,0.5888675302252825
68016,505,Union Pacific RR,0.6599323177688284,1.201932628174958
116862,505,Union Pacific RR,0.15449713436994808,13.023726622435122
116832,505,Union Pacific RR,0.762043366844366,10.13548025326135
91236,505,Union Pacific RR,0.7617375645972632,1.083134779306385
58570,505,Union Pacific RR,0.6407686635933992,11.857450987803185
98475,0,Union Pacific,0.40180679780621686,4.195570401550729
58550,505,Union Pacific RR,0.42263175967311173,0.29285254569712915
91233,505,Union Pacific RR,0.15935572552621735,4.645185754755954
98939,505,Union Pacific RR,0.5918423259549196,16.59853583476857
90146,0,Union Pacific,0.7729605716663321,2.013744465050073
56823,572,Denver and Rio Grande Western RR Spur,0.7767232199713102,0.08069419301742141
92543,0, ,0.7776754266956736,2.2662772753847973
92542,0, ,0.7775283236348484,1.13361548389115
90140,0, ,0.5988487047437142,2.2255270787277643
95571,0, ,0.6265120687350628,0.8986057517052892
95572,0, ,0.6185454348068524,6.593835495173123
90141,0, ,0.7803006584760209,0.36436380128374235
91116,0, ,0.7807923488928379,1.209359100299897
68027,505,Oregon Short Line RR,0.06895747701230122,0.19736376866077593
67919,505,Union Pacific RR,0.031510027999945824,0.32903004872785513
68025,501,Uta Trax Light Rail,0.09725932440663677,0.22867940346276572
85179,0, ,0.7611501710551243,0.08568808441004745
85134,505,Union Pacific RR,0.7622798300623845,1.3642291926290957
85161,505,Union Pacific RR,0.05203910738141893,0.2946035502095083
85163,505,Union Pacific RR,0.7017683707459306,3.3367859222538985
85141,505,Union Pacific RR,0.39512269201710176,8.271854339332748
116731,505,Union Pacific RR,0.14466835797641783,1.885986350440908
90277,505,Union Pacific RR,0.0607666981448368,0.1507623349045146
56497,505,Union Pacific RR,0.01835836954075263,0.016084458722004442
95568,0,Union Pacific,0.3947186475050166,0.1544026699117228
56498,505,Union Pacific RR,0.10876094131537699,0.0162415021924638
56518,505,Union Pacific RR,0.009895083151408517,0.012278223071195669
95569,0,Union Pacific,0.08098749596797603,0.12585502666089698
56499,505,Union Pacific RR,0.045107583271964916,0.16575017137308948
91023,505,Union Pacific RR,0.09393449655749637,0.5061970549328754
56627,505,Union Pacific RR,0.037620074224153255,0.35018150364647577
56623,505,Union Pacific RR,0.12904140785065188,0.42898086893484866
91020,505,Union Pacific RR,0.16911064494378208,0.24703394818307828
91019,505,Union Pacific RR,0.771022316706449,0.09892078711342184
91021,505,Union Pacific RR,0.45874380984626323,0.750601492979545
98490,505,Union Pacific RR,0.10029680051358555,1.9009694501997283
96915,505,Union Pacific RR,0.09029813423727837,1.868353884824915
99182,505,Union Pacific RR,0.14568282571865743,1.5638469472809884
98490,505,Union Pacific RR,0.08372016752774532,1.5867852216710523
98490,505,Union Pacific RR,0.14387127625085067,2.726855687456022
98490,505,Union Pacific RR,0.0033581142186616137,0.06364781834782823
98490,505,Union Pacific RR,0.03518049325377764,0.6667913889170392
14500,505,Union Pacific RR,0.2710735432581876,1.4502234506635914
96915,505,Union Pacific RR,0.016622974938860353,0.34394508886259173
85142,505,Union Pacific RR,0.1793822379345661,5.537871224702233
98475,0,Union Pacific,0.2953462075898735,3.083934402155001
58550,505,Union Pacific RR,0.35892538069875785,0.24870873768275822
91233,505,Union Pacific RR,0.15834267670157878,4.615655595399934
98939,505,Union Pacific RR,0.4615825835808187,12.945331413919284
90146,0,Union Pacific,0.7729605716663321,2.013744465050073
98475,0,Union Pacific,0.05164704484831563,0.5392860794696178
98939,505,Union Pacific RR,0.03924931761213275,1.100768188256988
59947,505,Union Pacific RR,0.00875868972951715,0.21371060858078875
59947,505,Union Pacific RR,0.004407156564840156,0.1075339052608193
59947,505,Union Pacific RR,0.06320080000515796,1.5420892678018887
67936,505,Union Pacific RR,0.019862449010897548,0.6205218712263058
68027,505,Oregon Short Line RR,0.07225167282756326,0.20679211391027938
67919,505,Union Pacific RR,0.03160109585995103,0.32998098607437554
68025,501,Uta Trax Light Rail,0.09052936721289244,0.21285570115160324
68004,505,Union Pacific RR,0.5756321883137528,1.271345452474456
90723,505,Union Pacific RR,0.7586992359341981,2.957684608720182
116870,0, ,0.7577336941086946,0.14744897917618907
68003,505,Union Pacific RR,0.5472952253537681,1.7005473400051179
68002,505,Union Pacific RR,0.2405850164602297,0.26179169608809943
68107,0, ,0.7587038073083733,0.1991552160859041
90722,505,Union Pacific RR,0.756916818499079,0.1599530716930953
68024,501,Uta Trax Light Rail,0.019133579627549864,0.024881595387683256
67919,505,Union Pacific RR,0.0019276365256486556,0.020128523527965795
68027,505,Oregon Short Line RR,0.17988794771755753,0.5148587917718681
67919,505,Union Pacific RR,0.08595960061241487,0.8975965231823485
68025,501,Uta Trax Light Rail,0.24333975235910857,0.5721486319974979
68027,505,Oregon Short Line RR,0.14603251942610967,0.41796088879272
67919,505,Union Pacific RR,0.04638078799726087,0.4843116272318545
68025,501,Uta Trax Light Rail,0.12460156424277279,0.2929673998395613
67957,505,Union Pacific RR,0.011784435659721197,0.3111146314974206
67936,505,Union Pacific RR,0.010653994313275563,0.332840954490608
67957,505,Union Pacific RR,0.019952062760366974,0.5267438197759092
67936,505,Union Pacific RR,0.010288133924869498,0.32141112664325855
67920,505,Union Pacific RR,0.37080219934653713,0.1722002431182724
68026,501,Uta Trax Light Rail,0.3228270904225917,0.17168289268931133
67919,505,Union Pacific RR,0.01047055699517021,0.10933433249677091
67922,505,Union Pacific RR,0.03561591700716196,0.06976903044637855
67921,505,Union Pacific RR,0.08561400912229365,0.19383316879430143
69255,307,Old Railroad Grade,0.6807138478045358,0.16608659488380947
69260,505,Denver and Rio Grande Western RR,0.6807138478045358,0.16608659488380947
92542,0, ,0.3078293112373534,0.4488068961692184
103213,505,Union Pacific RR,0.16679718462378332,7.072369209831074
114652,505,Union Pacific RR,0.5520317537765151,11.222680775311737
58494,505,Union Pacific RR,0.5806512779621519,10.892949979304335
89862,0,Union Pacific,0.7577189866001106,0.38578155393357566
106539,505,Union Pacific RR,0.2366294044544552,0.7225192784955048
89876,0,Usg,0.7603425748350731,0.5496404655741639
106288,0, ,0.7588464961330156,0.049979061232975075
95525,0,Union Pacific,0.7597337918291145,3.623767602775108
115148,505,Union Pacific RR,0.1858026104413908,2.229223760552956
85180,0, ,0.7599476724134213,0.3364398094153866
116902,0,Union Pacific Railroad Company,0.7598613255818906,0.35767864071796945
85165,505,Union Pacific RR,0.6145467820450172,0.8560700098085039
85141,505,Union Pacific RR,0.04154104588245067,0.8696576723776159
85161,505,Union Pacific RR,0.23915355608707847,1.3538949880919535
85178,0, ,0.7623830692690894,0.5838601938355353
85162,505,Union Pacific RR,0.7608347007678443,1.4557953067276213
116935,505,Union Pacific RR,0.05737742937135193,0.6431888835424175
85160,505,Union Pacific RR,0.16681842152629411,2.0018951286977855
85141,505,Union Pacific RR,0.029759071509387617,0.6230032083016559
115148,505,Union Pacific RR,0.16866977222714702,2.0236672834820943
85180,0, ,0.7599476724134213,0.3364398094153866
116902,0,Union Pacific Railroad Company,0.7598613255818906,0.35767864071796945
85165,505,Union Pacific RR,0.7095550127634691,0.988417455730165
85141,505,Union Pacific RR,0.03880155758394371,0.8123067567572717
85134,505,Union Pacific RR,0.7072869188800213,1.2658100401552603
85161,505,Union Pacific RR,0.045592677360618804,0.2581090508633688
85163,505,Union Pacific RR,0.06380047976106537,0.3033601278916035
85141,505,Union Pacific RR,0.13401165207633145,2.805520634843147
85140,505,Union Pacific RR,0.029193867685413388,0.47874166567386606
116926,505,Union Pacific RR,0.0061504170831375845,0.06791710187358849
85124,505,Union Pacific RR,0.0832699981276833,0.2771954924193181
85157,505,Union Pacific RR,0.1702385422169617,0.3429487613399004
109350,505,Union Pacific RR,0.05230030524207198,0.17368773895229023
85136,505,Union Pacific RR,0.6636665732049251,0.5241332753199185
85135,505,Union Pacific RR,0.7636277470306811,0.11461625484222947
85140,505,Union Pacific RR,0.04201255601919247,0.6889515724528092
116926,505,Union Pacific RR,0.039636468717978664,0.43769293162390893
85179,0, ,0.7611501710551243,0.08568808441004745
85134,505,Union Pacific RR,0.7622798300623845,1.3642291926290957
85161,505,Union Pacific RR,0.08100130177930218,0.45856418906014507
85163,505,Union Pacific RR,0.4475513694812618,2.1280285225496356
85141,505,Union Pacific RR,0.007924759552729817,0.16590405466153163
85174,505,Union Pacific RR,0.1217165676574885,0.5711766872784795
96344,505,Union Pacific RR,0.7634304978149282,0.17241312964186
85172,505,Union Pacific RR,0.25874615649633514,0.9774776116834606
85155,505,Union Pacific RR,0.018407669677827004,0.19508624963837337
85130,505,Union Pacific RR,0.007481016222978936,0.10658688446030226
115353,506,Utah Rlwy,0.026362545424046313,0.8914334007202424
85142,505,Union Pacific RR,0.0021565185135678667,0.0665758324755734
85111,505,Union Pacific RR,0.21305517398664245,3.587299423448321
104105,505,Huber Creeper RR,0.20587477068301066,0.16874655386226672
56858,505,Heber Creeper RR,0.005217255099370633,0.15241368958164198
104105,505,Huber Creeper RR,0.20587477068301066,0.16874655386226672
56858,505,Heber Creeper RR,0.005217255099370633,0.15241368958164198
104105,505,Huber Creeper RR,0.20587477068301066,0.16874655386226672
56858,505,Heber Creeper RR,0.005217255099370633,0.15241368958164198
95348,0,Union Pacific,0.7501879500783262,0.0875271978183692
95386,0,Union Pacific,0.7502528470837372,0.0654320694084043
95358,0,Union Pacific,0.7504732758173835,0.11577661806640813
95389,0,Union Pacific,0.3946994266492122,0.072479370053756
95388,0,Union Pacific,0.7502169571810811,0.10630364346696272
95350,0,Union Pacific,0.5644627681123138,0.027076322662283887
95352,0,Union Pacific,0.7503191486693348,0.028061187058346714
95347,0,Union Pacific,0.7504451448048863,0.2355788784201626
95351,0,Union Pacific,0.750223442327387,0.08808143816687569
95387,0,Union Pacific,0.7501596810916066,0.048110122962671455
93445,0,Union Pacific,0.03267785899010505,0.03185222465023945
95354,0,Union Pacific,0.7506560057524412,0.06122303647640295
91033,505,Union Pacific RR,0.14343303638683666,0.2432516517736893
95385,505,Southern Pacific RR,0.02905164016798035,0.05732522252578136
92553,0,Union Pacific,0.7507398157822878,0.0036919750809981723
95355,0,Union Pacific,0.38841544541432826,0.05597436030480367
92573,0,Union Pacific,0.2809764186807615,0.05766764711714541
95384,505,Southern Pacific RR,0.46834076420089354,0.11425825821366467
19873,505,Southern Pacific RR,0.21392190504075673,0.049942921022603885
95404,0,Union Pacific,0.04416162311059732,0.02118155142919803
90856,505,Union Pacific RR,0.04152579399374743,0.37891324537195875
95083,0, ,0.4484313274177834,1.7945751279269848
90857,505,Union Pacific RR,0.49778279444539664,1.6347659646063195
89890,0, ,0.7553078680863861,0.02262580639004042
78590,505,Union Pacific RR,0.26471449507902695,1.4101523457411487
90723,505,Union Pacific RR,0.3974313737504061,1.5493315420526443
68107,0, ,0.7587038073083733,0.1991552160859041
90722,505,Union Pacific RR,0.756916818499079,0.1599530716930953
85108,505,Abandoned RR,0.19374509270085669,0.07473569098606826
104132,505,Union Pacific RR,0.016225942917503882,0.45511287459169647
115353,506,Utah Rlwy,0.013459147727466845,0.45511287459169647
68024,501,Uta Trax Light Rail,0.05693225036405985,0.0740355566309793
67947,505,Union Pacific RR,0.7564509253384438,0.06464704355186765
67919,505,Union Pacific RR,0.013133965438474695,0.1371458409436743
68025,501,Uta Trax Light Rail,0.014124395280302678,0.033209754506083274
96915,505,Union Pacific RR,0.010434990380357848,0.21590983003061245
19864,505,Union Pacific RR,0.03692578484971122,0.05112608688410574
19865,505,Union Pacific RR,0.03386412423558929,0.027628259516814347
95313,0,Union Pacific,0.0149205609155624,0.04998621667224435
95322,0,Union Pacific,0.015521069345855993,0.049989567775065566
19863,505,Union Pacific RR,0.02949430434027938,0.050184336203740215
95305,0,Union Pacific,0.016028711140636236,0.04998581606003914
92560,0,Union Pacific,0.022008852839014274,0.050205941204348035
93443,0,Union Pacific,0.06374991676939083,0.008985023197525017
95230,0,Union Pacific,0.18337551476996747,0.046681081096551995
95245,0,Union Pacific,0.4686219399850005,0.0069482992379047365
89619,0,Union Pacific,0.7506264066544917,0.014093952127354235
92567,0,Union Pacific,0.4730583809552739,0.0071741560240952745
92566,0,Union Pacific,0.1336733109661553,0.007848292496911626
91118,0,Union Pacific,0.0832491679292195,0.008419235992242983
95234,0,Union Pacific,0.2898753386625199,0.040604268358274555
92562,0,Union Pacific,0.7506250667668328,0.011022191002902687
91356,0,Union Pacific,0.7506353682485435,0.007968661047576467
89623,0,Union Pacific,0.7506193672289921,0.018503313037998154
91120,0,Union Pacific,0.750646138640337,0.020420425750172493
91358,0,Union Pacific,0.7509366690282915,0.022132953231530555
91359,0,Union Pacific,0.7507471840164859,0.021162435536093115
89620,0,Union Pacific,0.017148741535083094,0.01081494351578464
92565,0,Union Pacific,0.01684519779630394,0.011518216831116507
92558,0,Union Pacific,0.02038181635069447,0.016971536204779765
95259,0,Union Pacific,0.04419529742220709,0.03984706990880826
91364,505,Union Pacific RR,0.01464511797257503,0.050008027945536576
95244,0,Union Pacific,0.05441212919063259,0.022810182715039023
92561,0,Union Pacific,0.09831816673752874,0.05017162339554181
95314,0,Union Pacific,0.020939801009442094,0.05000207710608139
95240,0,Union Pacific,0.024094474451573603,0.029493615973490067
91357,0,Union Pacific,0.02341241956132075,0.028027818316700908
95235,0,Union Pacific,0.025574976318054266,0.028658496490823485
92559,0,Union Pacific,0.02187415985756868,0.0218208761592606
95229,0,Union Pacific,0.04193668521635007,0.04132297057764937
95257,0,Union Pacific,0.030368136219424118,0.028081861138343413
95414,505,Union Pacific RR,0.00790627471669612,0.05010678546026976
68030,506,Salt Lake Garfield and Western Rlwy,0.18669486941159508,0.4113224533275509
67934,505,Union Pacific RR,0.07717938021685204,0.05260057050272442
67935,505,Union Pacific RR,0.49281990741797127,1.0117786260124073
68111,0, ,0.7580288438673469,0.5757484598154529
68022,505,Union Pacific RR,0.586820632972162,0.08784851071818463
96792,505,Union Pacific RR,0.10551767748537523,0.5253569279682099
67964,505,Union Pacific RR,0.32819817782700306,1.4503971895593823
68003,505,Union Pacific RR,0.17211945722385977,0.5348069407255687
67994,505,Union Pacific RR,0.7564769476518723,0.7647192676294189
68094,0, ,0.7558130466149174,0.11833770546527009
98481,505,Union Pacific RR,0.24004979489457606,0.23027236248320174
67993,505,Union Pacific RR,0.7554433621352326,0.7350961764624044
98483,505,Union Pacific RR,0.7554369991260802,0.7237657779551332
98482,505,Union Pacific RR,0.7553997303574584,0.7189437242288669
99981,505,Union Pacific RR,0.5150903283226798,0.40136270357437936
68016,505,Union Pacific RR,0.7556247553914446,1.3762169599941325
99980,505,Union Pacific RR,0.7558976195254062,0.7640516924244158
67990,505,Union Pacific RR,0.7555269156860427,0.7077810144423196
68116,0, ,0.7554891368544892,0.03312484768932107
