road_id,road_type,name,portion,length
2990,344,I- 84,0.008556509314529967,1.2898136003736236
2988,344,I- 84,0.008608970959322974,1.2972150399989055
8875,344,I- 15,0.012243149816009692,1.2972150399989055
8929,344,I- 15,0.012109779098728369,1.2898136003736236
8877,344,I- 15,0.08460545473277827,2.2090282237972336
8927,344,I- 15,0.0405274567266954,2.20661272973921
8877,344,I- 15,0.043457780638935205,1.1346722770796036
8927,344,I- 15,0.020310779111405018,1.1058681535430763
14637,0,Legacy Pkwy,0.006308363742840992,0.1523180265147829
4012,586,State Rte 67,0.006420758094355059,0.1523180265147829
4016,586,State Rte 67,0.005539159592850785,0.1348171603543351
14633,0,Legacy Pkwy,0.005539159592850785,0.1348171603543351
4706,344,I- 215,0.045396845287852754,0.1628500039309145
4709,344,I- 215,0.03759032986681137,0.16213348959719165
16967,0,Belt Rte,0.7553363296253104,0.014150599916537247
16968,0,Belt Rte,0.7561357112119905,0.05963130686652753
4015,586,State Rte 67,0.1454703510413363,0.06132133930942071
14635,0,Legacy Pkwy,0.1454703510413363,0.06132133930942071
4017,586,State Rte 67,0.14459517077318498,0.06967043466200608
14634,0,Legacy Pkwy,0.14459517077318498,0.06967043466200608
16966,0,Belt Rte,0.0032643503902068673,0.09083407492482233
12727,586,State Rte 201,0.14537979086875724,2.4359432153196785
12728,586,State Rte 201,0.12480239707273817,1.9516925169978472
1879,0,2100 South Fwy,0.7586785643301975,0.018033395457173525
6183,0,W 2100 S Expy,0.7586785643301975,0.018033395457173525
1880,0,2100 South Fwy,0.7586929598521073,0.017571102586313267
6184,0,W 2100 S Expy,0.7586929598521073,0.017571102586313267
1881,0,2100 South Fwy,0.7586817024352117,0.4518981714732209
5307,344,I- 80,0.12344423017521122,9.795809643002588
5305,344,I- 80,0.13296008465360656,10.543075972392336
13133,0,Dwight D Eisenhower Hwy,0.13296008465360656,10.543075972392336
4707,344,I- 215,0.00825202898117052,0.4578049227608403
4708,344,I- 215,0.0012145119953793446,0.0668656286007505
16963,0,Belt Rte,0.0012145119953793446,0.0668656286007505
13134,0,Dwight D Eisenhower Hwy,0.17970263901882622,9.795809643002588
16969,0,Belt Rte,0.013382796541798973,0.3669708478360179
